Statistical profiling result from isolate-0x5d60860-16400-v8.log, (8741 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.2%  LazyCompile: *createBaseVariableLikeDeclaration /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:22875:51
      4    0.0%    0.2%  LazyCompile: *compareValues /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:2020:27
      4    0.0%    0.2%  LazyCompile: *compareSignaturesRelated /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:64341:42
      4    0.0%    0.2%  LazyCompile: *codePointAt /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:12311:63
      4    0.0%    0.2%  LazyCompile: *bindEach /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:45203:26
      4    0.0%    0.2%  LazyCompile: *<anonymous> /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:68258:47
      4    0.0%    0.2%  Function: ^resolveNameHelper /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:49649:35
      4    0.0%    0.2%  Function: ^recursiveTypeRelatedTo /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:65471:44
      4    0.0%    0.2%  Function: ^declareSymbol /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:44902:31
      3    0.0%    0.1%  RegExp: (?:\/\/)|(?:^|\/)\.\.?(?:$|\/)
      3    0.0%    0.1%  LazyCompile: *symbolIsValue /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:51708:31
      3    0.0%    0.1%  LazyCompile: *setParentRecursive /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:21212:32
      3    0.0%    0.1%  LazyCompile: *scanString /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:11055:28
      3    0.0%    0.1%  LazyCompile: *resolveEntityName /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:50986:35
      3    0.0%    0.1%  LazyCompile: *resolveAnonymousTypeMembers /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:58365:45
      3    0.0%    0.1%  LazyCompile: *realpathSync node:fs:2425:22
      3    0.0%    0.1%  LazyCompile: *parseNonArrayType /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:33948:35
      3    0.0%    0.1%  LazyCompile: *isNeverReducedProperty /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:59367:40
      3    0.0%    0.1%  LazyCompile: *instantiateList /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:63252:33
      3    0.0%    0.1%  LazyCompile: *inferFromTypes /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:68467:36
      3    0.0%    0.1%  LazyCompile: *hasSyntacticModifier /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:18888:34
      3    0.0%    0.1%  LazyCompile: *getTypePredicateOfSignature /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:59818:45
      3    0.0%    0.1%  LazyCompile: *getTypeOfVariableOrParameterOrProperty /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:56530:56
      3    0.0%    0.1%  LazyCompile: *getTypeOfFuncClassEnumModule /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:56755:46
      3    0.0%    0.1%  LazyCompile: *getTypeFacts /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:69589:30
      3    0.0%    0.1%  LazyCompile: *getReducedApparentType /home/jorgem/software/backendCourse/16. Log/node_modules/typescript/lib/typescript.js:59144:40
